cgpa,Interview_marks,package
6.89,26,3.26
5.12,38,1.98
7.82,40,3.25
7.42,8,3.67
6.94,17,3.57
7.89,23,2.99
6.73,11,2.6
6.75,39,2.48
6.09,38,2.31
8.31,94,3.51
5.32,16,1.86
6.61,7,2.6
8.94,16,3.65
6.93,26,2.89
7.73,43,3.42
7.25,21,3.23
6.84,19,2.35
5.38,22,2.09
6.94,27,2.98
7.48,29,2.83
7.28,47,3.16
6.85,33,2.93
6.14,54,2.3
6.19,11,2.48
6.53,11,2.71
7.28,58,3.65
8.31,8,3.42
5.42,46,2.16
5.94,19,2.24
7.15,15,3.49
7.36,16,3.26
8.1,44,3.89
6.96,11,3.08
6.35,27,2.73
7.34,9,3.42
6.87,12,2.87
5.99,16,2.84
5.9,9,2.43
8.62,20,4.36
7.43,17,3.33
9.38,86,4.02
6.89,38,2.7
5.95,71,2.54
7.66,63,2.76
5.09,55,1.86
7.87,10,3.58
6.07,15,2.26
5.84,46,3.26
8.63,42,4.09
8.87,28,4.62
9.58,18,4.43
9.26,28,3.79
8.37,27,4.11
6.47,33,2.61
6.86,36,3.09
8.2,15,3.39
5.84,15,2.74
6.6,24,1.94
6.92,43,3.09
7.56,32,3.31
5.61,31,2.19
5.48,86,1.61
6.34,22,2.09
9.16,26,4.25
7.36,52,2.92
7.6,28,3.81
5.11,31,1.63
6.51,18,2.89
7.56,30,2.99
7.3,44,2.94
5.79,17,2.35
7.47,20,3.34
7.78,19,3.62
8.44,12,4.03
6.85,3,3.44
6.97,56,3.28
6.94,12,3.15
8.99,28,4.6
6.59,12,2.21
7.18,19,3
7.63,46,3.44
6.1,44,2.2
5.58,12,2.17
8.44,20,3.49
4.26,35,1.53
4.79,28,1.48
7.61,22,2.77
8.09,19,3.55
4.73,39,1.48
6.42,17,2.72
7.11,15,2.66
6.22,6,2.14
7.9,63,4
6.79,30,3.08
5.83,21,2.42
6.63,35,2.79
7.11,28,2.61
5.98,52,2.84
7.69,76,3.83
6.61,23,3.24
7.95,46,4.14
6.71,26,3.52
5.13,22,1.37
7.05,18,3
7.62,47,3.74
6.66,12,2.82
6.13,22,2.19
6.33,9,2.59
7.76,10,3.54
7.77,21,4.06
8.18,31,3.76
5.42,33,2.25
8.58,15,4.1
6.94,10,2.37
5.84,77,1.87
8.35,37,4.21
9.04,21,3.33
7.12,0,2.99
7.4,54,2.88
7.39,39,2.65
5.23,46,1.73
6.5,27,3.02
5.12,51,2.01
5.1,52,2.3
6.06,30,2.31
7.33,55,3.16
5.91,37,2.6
6.78,23,3.11
7.93,25,3.34
7.29,39,3.12
6.68,53,2.49
6.37,19,2.01
5.84,18,2.48
6.05,64,2.58
7.2,93,2.83
6.1,47,2.6
5.64,15,2.1
7.14,53,3.13
7.91,8,3.89
7.19,5,2.4
7.91,22,3.15
6.76,18,3.18
6.93,41,3.04
4.85,33,1.54
6.17,17,2.42
5.84,28,2.18
6.07,22,2.46
5.66,11,2.21
7.57,49,3.4
8.28,58,3.67
6.3,22,2.73
6.12,16,2.76
7.37,56,3.08
7.94,10,3.99
7.08,54,2.85
6.98,12,3.09
7.38,34,3.13
6.47,81,2.7
5.95,50,3.04
8.71,22,4.08
7.13,10,2.93
7.3,52,3.33
5.53,90,2.55
8.93,42,3.91
9.06,34,3.82
8.21,7,4.08
8.6,59,3.98
8.13,48,3.6
8.65,37,3.52
9.31,16,4.37
6.22,37,2.87
8.01,38,3.76
6.93,43,2.51
6.75,48,2.56
7.32,21,2.99
7.04,26,3.5
6.29,30,3.23
7.09,40,3.64
8.15,39,3.63
7.14,45,3.03
6.19,29,2.72
8.22,42,3.89
5.88,76,2.08
7.28,18,2.72
7.88,33,3.14
6.31,31,3.18
7.84,63,3.47
6.26,10,2.44
7.35,55,3.08
8.11,9,4.06
6.19,23,2.69
7.28,8,3.48
8.25,38,3.75
4.57,14,1.94
7.89,33,3.67
6.93,44,2.46
5.89,34,2.57
7.21,27,3.24
7.63,44,3.96
6.22,25,2.33
